,VEH1W
Exoc3,15.18940069
Exoc4,16.95021915
Exoc5,15.07836003
Exoc6b,14.93705275
Exoc7,16.96496519
Exoc8,17.04067951
Exog,12.60816743
Ezr,18.51752002
F11r,15.01273723
F12,10.1255161
F13a1,19.35490564
F2,18.21360653
Fabp3,16.08424554
Fabp4,23.16373023
Fabp5,19.12563252
Fads3,14.27513905
Faf1,15.93915444
Faf2,15.94071927
Fah,17.97398942
Fahd1,13.50871631
Fahd2,16.4540793
FAM120A,16.77553406
Fam126b,15.56168087
Fam129a,17.58419231
Fam129b,17.47947145
Fam134a,12.05211172
Fam134c,13.13729949
Fam136a,15.95646474
Fam160b1,13.24346634
Fam162a,15.24333508
Fam175b,15.40750892
Fam177a1,14.80181947
Fam21,16.91914663
Fam213a,18.34150004
Fam213b,16.88383977
Fam49a,15.70288274
Fam49b,17.49352957
Fam63a,16.10768178
Fam63b,13.92789022
Fam65a,13.46334368
Fam91a1,13.41587669
Fam98a,15.72716543
Farp1,14.3129142
Fars2,12.48057161
Farsa,16.05289298
Farsb,17.09197413
Fas,12.7564193
Fasn,21.58711984
Fau,12.78230657
Fbl,16.2142372
Fblim1,13.89319756
Fbln5,15.38928734
Fbn1,20.65814719
Fbxo4,15.92413803
Fcho2,16.76613199
Fdps,16.01066419
Fdx1,14.89177308
Fdxr,16.13301221
Fech,16.43926774
Fermt2,18.51563572
Fetub,17.42301635
Fga,19.22489809
Fgb,19.33250518
Fgg,19.33778227
Fh,18.46436262
Fhl1,18.66986239
Fhl3,15.92267378
Fhod1,15.22049243
Fig4,14.48373449
Filip1l,15.04251197
Fis1,16.64443057
Fitm2,16.52762278
Fkbp15,17.76649293
Fkbp1a,17.17667701
Fkbp2,16.0077033
Fkbp3,17.62336995
Fkbp4,17.66434941
Fkbp5,17.37628947
Fkbp7,15.52828402
Fkbp8,16.14153665
Fkbp9,16.55693824
Flad1,15.19828252
Flii,17.22984529
Flna,21.29163597
Flnb,20.49691724
Flnc,18.55382443
Flot1,17.68517647
Flot2,17.28846481
Fmnl1,16.67181324
Fmnl3,12.98784893
Fmo1,17.76017468
Fmo2,17.34578635
Fmo5,16.67937628
Fmr1,17.45954533
Fn1,19.831957
Fn3krp,16.45642873
Fnbp1,17.30818529
Fnbp1l,11.56883279
Fndc3b,12.46967164
Foxred1,12.99122005
Frg1,14.41964354
Fry,14.99538571
Fscn1,17.96091506
Fstl1,13.3124724
Fth1,18.55032484
Ftl1,19.10309598
Fubp1,17.36182554
Fuk,11.49555505
Fundc2,15.06190807
Fus,18.39993675
Fxr1,16.61974756
Fxr2,14.14603888
Fxyd1,13.11415166
G3bp1,15.44396925
G3bp2,16.80019981
G6pdx,19.79583089
Gaa,15.0039026
Gabarap,15.61434486
Gak,16.61028817
Gale,17.30009087
Galk1,16.08885319
Galk2,15.18830702
Galm,14.04899466
Galns,14.90118338
Galnt2,16.83081069
Ganab,19.14348827
Gapdh,19.59046229
Gar1,13.63399805
Gars,17.60431715
Gart,17.49805563
Gas1,12.75816386
Gatad2a,15.54968119
Gbas,17.43038575
Gbe1,16.60633727
Gbp2,18.79572568
Gbp4,16.89326945
Gbp5,17.73413434
Gc,19.72920779
Gcc2,15.0215053
Gcdh,15.74712653
Gclm,16.20440471
Gcn1l1,17.5039648
Gcsh,15.04917873
Gda,18.89770074
Gde1,13.98943822
Gdi1,17.76374758
Gdi2,19.53498507
Gfer,14.6711168
Gfm1,15.48330268
Gfm2,12.83625729
Gfpt1,17.31483465
Gga1,16.61265258
Ghitm,15.76631435
Gigyf2,15.51730932
Gimap4,17.19274999
Git1,16.15419202
Git2,15.78631467
Gk,16.13717491
Glg1,16.96475398
Glipr2,14.96708483
Glo1,16.56966349
Glod4,17.15916406
Glrx,15.59454905
Glrx3,17.82793019
Glrx5,15.11793819
Gls,16.70896818
Glud1,19.38284472
Glul,19.05581293
Glyr1,15.448704
