,Status,Batch,pca_browning_score_PC1,pca_browning_score_PC2,lda_browning_score_Brown,lda_browning_score_White,lda_browning_score_Brown_lasso,lda_browning_score_White_lasso,rf_browning_score_Brown,rf_browning_score_White,lr_browning_score_Brown,lr_browning_score_White,lr_browning_score_Brown_markers,lr_browning_score_White_markers,Composite_Score
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_4_2172,Intermediate,KristinaiWAT,-28.460719743600773,9.416368792821064,0.0,1.0,0.0,1.0,0.35,0.65,0.00545312564196887,0.9945468743580311,0.026295111467429577,0.9737048885325704,-14.04435095077971
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_5_3421,Intermediate,KristinaiWAT,-39.698600677840076,15.209592731234213,1.0,1.1521972729109015e-129,0.0,1.0,0.26,0.74,0.0017028634707086931,0.9982971365292913,0.007873032954122117,0.9921269670458779,-19.489007946605863
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_6_4226,Intermediate,KristinaiWAT,-50.74235245362904,-1.9009253087933244,0.0,1.0,0.0,1.0,0.22,0.78,0.0005161513406390927,0.9994838486593609,0.0021358593756473088,0.9978641406243527,-47.643277762422365
Melina-Melina-RT1,Brown,Melina,47.913021222742806,-57.702881290175284,1.0,1.4223086330879938e-45,1.0,0.0,0.98,0.02,0.9994639707291099,0.0005360292708901434,0.9925127171080751,0.007487282891924861,-4.789860067432478
Melina-Melina-RT2,Brown,Melina,47.876830945834755,-52.61679789580069,1.0,1.0734906519054846e-45,1.0,0.0,0.98,0.02,0.9983304240761852,0.00166957592381474,0.9457239438367882,0.054276056163211885,0.26003305003406757
Melina-Melina-RT3,Brown,Melina,44.3505422701331,-65.9475205963737,1.0,9.743082119447541e-46,1.0,0.0,0.95,0.05,0.9972559725723695,0.00274402742763052,0.9803592495240641,0.019640750475935897,-16.59697832624061
Melina-Melina-RT4,Brown,Melina,46.65100848169714,-69.55500063501577,1.0,5.743750098897632e-44,1.0,0.0,0.99,0.01,0.9990469673623132,0.0009530326376867759,0.987843439671125,0.012156560328875054,-17.903992153318633
Melina-Melina-RT5,Brown,Melina,51.14375477366818,-67.58821010807716,1.0,1.724097278254609e-38,1.0,0.0,0.99,0.01,0.9983248028514229,0.0016751971485770732,0.9432686395767969,0.056731360423203106,-11.444455334408985
Melina-Melina-RT6,Brown,Melina,47.84728963091891,-70.07232537613804,1.0,1.0909543022523407e-50,1.0,0.0,0.98,0.02,0.9993408496432067,0.0006591503567932935,0.9771194043650915,0.022880595634908508,-17.22503574521913
Melina-Melina-Cold1,Brown,Melina,48.82003850838385,-75.246440722603,1.0,2.7138241200373173e-39,1.0,0.0,0.96,0.04,0.9983200316167646,0.0016799683832353762,0.9717598628797228,0.028240137120277176,-21.426402214219145
